id,primaryName,birthYear,knownForTitles0,knownForTitles1,knownForTitles2,knownForTitles3
nm0000001,Fred Astaire,1899,tt0072308,tt0053137,tt0050419,tt0031983
nm0000002,Lauren Bacall,1924,tt0071877,tt0117057,tt0037382,tt0038355
nm0000003,Brigitte Bardot,1934,tt0054452,tt0057345,tt0049189,tt0056404
nm0000004,John Belushi,1949,tt0072562,tt0078723,tt0080455,tt0077975
nm0000005,Ingmar Bergma,1918,tt0060827,tt0050976,tt0050986,tt0083922
nm0000006,Ingrid Bergman,1915,tt0077711,tt0038109,tt0036855,tt0034583
nm0000007,Humphrey Bogart,1899,tt0042593,tt0043265,tt0034583,tt0037382
nm0000008,Marlon Brando,1924,tt0047296,tt0078788,tt0070849,tt0068646
nm0000009,Richard Burton,1925,tt0057877,tt0059749,tt0061184,tt0087803
nm0000010,James Cagney,1899,tt0031867,tt0042041,tt0035575,tt0029870
nm0000011,Gary Cooper,1901,tt0034167,tt0035896,tt0044706,tt0027996
nm0000012,Bette Davis,1908,tt0035140,tt0042192,tt0031210,tt0056687
nm0000013,Doris Day,1922,tt0048317,tt0045591,tt0053172,tt0049470
nm0000014,Olivia de Havilland,1916,tt0040806,tt0029843,tt0041452,tt0031381
nm0000015,James Dean,1931,tt0049261,tt0048545,tt0048028,tt0039123
nm0000016,Georges Delerue,1925,tt0069946,tt8847712,tt0096320,tt0091763
nm0000017,Marlene Dietrich,1901,tt0021156,tt0055031,tt0052311,tt0051201
nm0000018,Kirk Douglas,1916,tt0080736,tt0054331,tt0049456,tt0043338
nm0000019,Federico Fellini,1920,tt0050783,tt0056801,tt0053779,tt0071129
nm0000020,Henry Fonda,1905,tt0050083,tt0032551,tt0051207,tt0082846
