id,movie,average,total
1,tt0072308,7.0,43182
2,tt0053137,7.1,12950
3,tt0050419,7.0,29880
4,tt0031983,6.9,2570
5,tt0071877,7.3,61607
6,tt0117057,6.6,19872
7,tt0037382,7.8,34221
8,tt0038355,7.9,84582
9,tt0054452,7.6,3808
10,tt0057345,7.5,31543
11,tt0049189,6.3,8350
12,tt0056404,5.4,623
13,tt0072562,8.0,47921
14,tt0078723,5.8,33454
15,tt0080455,7.9,195800
16,tt0077975,7.4,119490
17,tt0060827,8.1,115595
18,tt0050976,8.1,181771
19,tt0050986,8.1,105658
20,tt0083922,8.1,63169
21,tt0077711,8.1,33695
22,tt0038109,7.5,48052
23,tt0036855,7.8,28282
24,tt0034583,8.5,559393
25,tt0042593,7.9,30986
26,tt0043265,7.7,77846
27,tt0034583,8.5,559393
28,tt0037382,7.8,34221
29,tt0047296,8.1,152737
30,tt0078788,8.5,650928
31,tt0070849,6.9,53374
32,tt0068646,9.2,1781216
33,tt0057877,7.8,14635
34,tt0059749,7.6,16955
35,tt0061184,8.0,74429
36,tt0087803,7.1,71548
37,tt0031867,7.9,13899
38,tt0042041,8.1,32455
39,tt0035575,7.6,15407
40,tt0029870,7.9,21403
41,tt0034167,7.7,18162
42,tt0035896,6.8,9284
43,tt0044706,8.0,103133
44,tt0027996,7.8,21367
45,tt0035140,7.9,16818
46,tt0042192,8.2,129585
47,tt0031210,7.5,11072
48,tt0056687,8.0,54987
49,tt0048317,7.1,4226
50,tt0045591,7.2,9891
51,tt0053172,7.4,17219
52,tt0049470,7.4,63833
53,tt0040806,7.6,7628
54,tt0029843,7.9,50617
55,tt0041452,8.1,15685
56,tt0031381,8.2,310164
57,tt0049261,7.6,38264
58,tt0048545,7.7,89439
59,tt0048028,7.8,44976
60,tt0039123,8.2,188
61,tt0069946,6.0,3156
62,tt8847712,7.2,104896
63,tt0096320,6.1,122931
64,tt0091763,8.1,406615
65,tt0021156,7.0,6663
66,tt0055031,8.3,76263
67,tt0052311,8.0,103480
68,tt0051201,8.4,122088
69,tt0080736,6.6,23652
70,tt0054331,7.9,133203
71,tt0049456,7.3,11640
72,tt0043338,8.1,35360
73,tt0050783,8.1,48310
74,tt0056801,8.0,116418
75,tt0053779,8.0,72034
76,tt0071129,7.9,43120
77,tt0050083,9.0,763788
78,tt0032551,8.1,91628
79,tt0051207,7.4,28189
80,tt0082846,7.6,31130
